personIdA,nameStringA,dateBirthA,dateDeathA,dateFlA
skp000222,A. Affelman,0,0,1626
skp000288,Arnoldus Buchelius,1565,1641,0
skp000890,Abraham van der Myl,1563,1637,0
skp001013,A.E.J. de Vigier,0,0,1608
skp001448,Abraham Dominici,0,1635,0
skp002033,Adriana de Groot,0,0,1621
skp002047,Adrianus Blyenburch,1589,1630,0
skp002076,Adrianus Romanus,0,0,1628
skp002875,Andreas Schottus,1552,1629,0
skp002879,Andreas Spole,0,0,1681
skp003340,Antoine Arnauld,1612,1694,0
skp003468,Antoine Schets,0,0,1588
skp003725,Antonius Walaeus,1573,1639,0
skp003760,Apollonius Schotte,1570,1639,0
skp004017,Assuerus Matthisius,0,0,1635
skp004035,Athanasius Kircher,1602,1680,0
skp004045,Aubertus Miraeus jr,1573,1640,0
skp004280,Axel Oxenstierna,1583,1654,0
skp004576,Bagge Wandel,0,0,1663
skp004607,Baltasar Adriaansz,0,0,1678
skp004781,Bartholdus Nihusius,1589,1657,0
skp004949,Benedictus Skytte,1614,1683,0
skp005044,Bernard Damke,0,0,1636
skp005135,Bernardus Pandelaert,0,1653,0
skp005190,Bernhard von Saksen-Weimar,1604,1639,0
skp005358,Bonaventura Vulcanius,1538,1614,0
skp005975,Conradus Vorstius,1569,1622,0
skp007193,Charles Bryas,0,0,1663
skp007272,Charles I1 koning van Groot-Brittannië,1600,1649,0
skp007472,Charles de Sainte-Maure; duc de Montausier,1610,1690,0
skp007645,Christiaan Cassius,0,0,1639
skp008142,Christopher Wren Sir,0,0,1614
skp008151,Christophorus Deichman,0,0,1639
skp008251,Claude Clerseliers,1614,1684,0
skp008252,Claude Comiers,0,0,1669
skp008322,Claudele Bouthillier seigneur de Foulletourte,1581,1652,0
skp008335,Claudius Sarravius,1600,1651,0
skp008703,Cornelia de Montbas- de Groot,1611,1687,0
skp008846,Cornelis Matelief,0,0,1615
skp008932,Cornelis de Groot,1544,1610,0
skp008933,Cornelis de Groot,1613,1665,0
skp008969,Cornelis van Beveren,1591,1663,0
skp009007,Cornelis van Pynacker,1570,1645,0
skp009045,Cornelius Busius,0,0,1631
skp009254,Cyrillus Lucaris,1572,1638,0
skp009887,Daniël Johannis Snecanus,1580,1655,0
skp009898,Daniël Tilenus,1563,1633,0
skp009899,Daniël Tressel,0,0,1614
skp010282,Denis Petau,1583,1652,0
skp010635,Dominicus Baudius,1561,1613,0
skp011339,Edouard Herbert de Cherbury,0,0,1626
skp011692,Elzas; de Ridderschap in de,0,0,1637
skp012382,F. Leeuwius,0,0,1634
skp012900,Felipe IV 4 koning van Spanje en Portugal,1605,1665,0
skp012954,Ferdinand II 2 keizer van Duitsland,1578,1637,0
skp013135,Focke Eltjes Reson,0,0,1656
skp013458,Franciscus Junius F.F.,1591,1677,0
skp013481,Franciscus Raphelengius II,1568,1643,0
skp013523,Francoijs van Houve,0,0,1615
skp013558,Francois Sublet,0,0,1643
skp013631,Frans Sweerts,1567,1629,0
skp013934,François d' Aix la Chaise,1624,1709,0
skp013990,Françoise-Marguerite de Gramont-Chivré,0,1689,0
skp014189,Frederikvan den Sande,0,0,1599
skp014459,Friedrich Lindenbrog,1573,1648,0
skp015423,G.M. Lingelsheim,0,0,1622
skp015524,Gabriel Gustavsson Oxenstierna,1587,1640,0
skp015665,Gaston Jean Baptiste de Bourbon,0,0,1650
skp015668,Gaston hertog van Orléans,1608,1660,0
skp015716,Gecommitt. Raden van Holland,0,0,1676
skp015920,Georg Calixt,1586,1656,0
skp016070,Georg Möller,0,0,1633
skp016219,George Keller,1589,1652,0
skp016547,Gerardus Tuningius,1566,1610,0
skp016568,Gerardus van Wassenaer,0,0,1627
skp016611,Gerhardus Elmenhorst,1580,1621,0
skp016819,Gidéon van den Boetzelaer,1569,1634,0
skp016864,Gilbertus Jacchaeus,1578,1628,0
skp016924,Giovanni Alfonso Borelli,1608,1679,0
skp017205,Godefroid van Haestrecht,1593,1659,0
skp017323,Gottfried Jungermann,1577,1610,0
skp017789,Gustave Rosenhane,0,0,1641
skp017891,H. Doncker,0,0,1682
skp018477,Henri de la Tremouille,1599,1674,0
skp019020,Hendrik Hooft Czn.,0,0,1622
skp019138,Hendrik van Lantschot,0,0,1682
skp019178,Hendrikvan den Bergh,1573,1638,0
skp019312,Henri de Bourbon II ; prins van Condé,1588,1648,0
skp019319,Henri de Lorraine,0,0,1617
skp019323,Henri de Rohan,1579,1638,0
skp019440,Henricus Meiling,0,0,1629
skp019478,Henricus Vagetius,0,0,1636
skp019600,Henry More,0,0,1673
skp019725,Hermann Conring,1606,1681,0
skp019838,Hero van Inthima,0,0,1626
skp020536,Isaac Beeckman,1588,1637,0
skp020542,Isaac Casaubon,1559,1614,0
skp020545,Isaac Dorislaus,1595,1649,0
skp020679,Israel Jaski,0,0,1640
skp020924,J. Collins,0,0,1669
skp021756,J. de Cordez,0,0,1632
skp021968,Johan van Reigersberg,0,0,1611
skp022005,J. van Veen,0,0,1658
skp022866,J.H. de Groot,0,0,1624
skp023739,Jacob Lampadius,0,0,1634
skp023784,Jacob Prouning,0,0,1619
skp024043,Jacobus Janssonius,1547,1625,0
skp024067,Jacobus Lasson,0,0,1596
skp024068,Jacobus Laurentius,1585,1644,0
skp024203,Jacobus le Petit,1610,1672,0
skp024269,Jacques Auguste de Thou,1553,1617,0
skp024301,Jacques Dupuy,1591,1656,0
skp024487,James I1 koning van Groot-Brittannië,1566,1625,0
skp024596,Jan Bruynestein,0,1684,0
skp024693,Jan Harmensz,0,0,1660
skp024878,Jan Tileman Stella,0,1645,0
skp025020,Jan ten Grotenhuys,1573,1646,0
skp025071,Joannes van Wevelinchoven,1592,1656,0
skp025124,Jannot,0,0,1657
skp025157,Janus Gruterus,1560,1627,0
skp026005,Jerzy Slupecki de Konary,1615,1661,0
skp026030,Jo. Bingham,0,0,1615
skp026144,Joachim Camerarius,1603,1687,0
skp026148,Joachim Damke,0,0,1635
skp026160,Joachim Gersdorf de Tundbyholm,0,0,1614
skp026492,Joannes Meursius,1579,1639,0
skp026493,Joannes Meursius,1613,1654,0
skp026507,Joannes Narsius,0,0,1629
skp026787,Johan Axelsson Oxenstierna,1611,1657,0
skp026889,Johan Adler Salvius,1590,1652,0
skp026920,Johan Bilberg,1646,1717,0
skp027136,Johan Otto Tabor,0,0,1653
skp027156,Johan Radermacher de Oude,1538,1617,0
skp027229,Johan Witten,0,1645,0
skp027238,Johan de Haen,1560,1624,0
skp027291,Johan van Oldenbarnevelt,1547,1619,0
skp027548,Johann Crellius,1590,1633,0
skp027602,Johann Freinsheim,1608,1660,0
skp027878,Johann Heinrich Bisterfeld,1605,1655,0
skp027879,Johann Heinrich Boecler,1611,1672,0
skp028479,Johannes Columbus,1640,1684,0
skp028525,Johannes Duraeus,1596,1680,0
skp028924,Johannes Pricaeus,0,0,1653
skp028956,Johannes Rutgers,1589,1625,0
skp028992,Johannes Skytte,0,0,1640
skp029097,Johannes de Hemelaer,1570,1655,0
skp029242,John Cosin,1595,1672,0
skp029306,John Overall,1560,1619,0
skp029410,Joost Brasser,0,0,1624
skp029447,Joris George de Bije,0,1628,0
skp029672,Joseph de Voysin,1610,1685,0
skp029969,Justinus van Assche,0,0,1611
skp029998,Justus Lipsius,1547,1606,0
skp030188,Karel X X koning van Zweden,1622,1660,0
skp030987,Lieuwe van Aitzema,1600,1669,0
skp031365,Lancelot Andrewes Bisschop van Winchester,1555,1626,0
skp032021,Louis Cappel,1585,1658,0
skp032381,Lucas Holstein,1596,1661,0
skp032674,Léonle Bouthillier,1608,1652,0
skp032730,M. Cuzeau de la Chambre,0,0,1662
skp033337,Magnus Gabrielde la Gardie,1622,1686,0
skp033628,Maria Junius (echtg. van Isaacus Diamantius),0,0,1622
skp033710,Maria van Reichersberch,1589,1653,0
skp034001,Martin Opitz,1597,1639,0
skp034008,Martin Regulus,0,0,1682
skp034069,Martinus Ruarus,1588,1657,0
skp034120,Mary II 2 koningin van Engeland en Schotland,1662,1694,0
skp034186,Matthaeus Vossius,1610,1646,0
skp034210,Matthias Bernegger,1582,1640,0
skp034232,Matthias Mylonius von Biörenklow,1617,1671,0
skp034239,Matthias Pasor,1599,1658,0
skp034247,Matthias Turner,0,0,1639
skp034261,Matthias van Overbeke,1584,1638,0
skp034332,Maurits van Oranje,1567,1625,0
skp034519,Menasseh Ben Israel,1604,1657,0
skp034546,Mericus Casaubonnus,0,0,1637
skp035177,Nicolaas van Reigersberg,1584,1654,0
skp035857,Nicolaas Grevinchoven,1568,1632,0
skp035983,Nicolas Brûlart de Silery marquis,1544,1624,0
skp035989,Nicolas Claude Fabri de Peiresc,1580,1637,0
skp036052,Nicolas de Bourgogne,1586,1649,0
skp036125,Nicolaus Rigaltius,1577,1654,0
skp036146,Nicolaus a Velze,0,0,1629
skp036334,Olivarius Vredius,1596,1652,0
skp037353,Paul Dumay,1585,1645,0
skp037450,Paullus Merula,1558,1607,0
skp037503,Paulus Pels,1587,1659,0
skp037790,Petrus Cupus,1580,1646,0
skp037830,Petrus Hartzwich,0,0,1632
skp037833,Petrus Heringa,0,0,1674
skp037952,Petrus Weymsius,0,0,1629
skp038078,Philibert de La Mare,1615,1687,0
skp038305,Philips Ernst van Hohenlohe,0,0,1621
skp038467,Pierre Gassendi,1592,1655,0
skp038620,Pierre Séguier,1588,1672,0
skp038714,Pieter Christiaansz Bor,1559,1635,0
skp038716,Pieter Cloek,0,0,1637
skp038725,Pieter Cornets de Groot,1615,1678,0
skp039308,Rombout Hogerbeets,1561,1625,0
skp039556,Ralph Winwood,1564,1617,0
skp039688,Reinerus Neuhusius,1608,1679,0
skp039732,Reinoud van Brederode,1567,1633,0
skp040037,Robert Oudart,0,0,1639
skp040201,Rotgerus zum Bergen,1603,1661,0
skp040213,Rotterdam; stadsbestuur,0,0,1712
skp040743,Samson Johnson,0,0,1635
skp040838,Samuel Petit,1594,1643,0
skp041338,Simon Episcopius,1583,1643,0
skp041345,Simon Groenewegen van der Made,0,0,1650
skp041380,Simon van Beaumont,1574,1654,0
skp041426,Sixtinus Amama,1593,1629,0
skp041666,Staten van Holland,0,0,0
skp041681,Staten van Zeeland?,0,0,1666
skp041801,Stephanus Johannes Stephanius,0,0,0
skp041977,Tobias Andreae,1604,1676,0
skp042487,Thomas Erpenius,1584,1624,0
skp042538,Thomas Lansius,1577,1657,0
skp042733,Tobias Coene,0,1618,0
skp042776,Trajano Guiscardi,0,0,1615
skp042901,Urbanus VIII,0,0,1625
skp043402,Vopiscus Fortunatus Plemp,1601,1671,0
skp044089,Wijnandt Schuil,0,0,1636
skp044198,Wilhelm Schickard,1592,1635,0
skp044239,Wilhelm von Inhausen und Knyphausen,0,0,1607
skp044524,Willem Johansz. van Oldenbarneveldt,1590,1639,0
skp044819,William Laud,1573,1645,0
