personIdB,nameStringB,dateBirthB,dateDeathB,dateFlB
epist0337,stadsbestuur van Rotterdam,0,0,0
epist0385,Staten van Holland,0,0,0
epist0392,Mary Stuart,1662,1694,0
epist0405,Henri de la Tremouille,1599,1674,0
epist10002,A. Affelman,0,0,1626
epist10005,A.E.J. de Vigier,0,0,1608
epist10021,Abraham Dominicus,0,0,1627
epist10025,Abraham van der Mijl,1563,1637,0
epist10037,Adriaan van Blyenburg,1589,1630,0
epist10046,Adriana de Groot,1592,1639,0
epist10048,Adriano Romanus,0,0,1628
epist10098,Andreas Schottus,1552,1629,0
epist10099,Andreas Spole,1630,1699,0
epist10139,Anthonie Schetz,1564,1641,0
epist10147,Antoine Arnauld,1612,1694,0
epist10166,Antonius Walaeus,1573,1639,0
epist10169,Apollonius Schotte,1574,1639,0
epist10176,Arnoldus Buchelius,1565,1641,0
epist10184,Assuerus Matthisius,1593,1651,0
epist10186,Athanasius Kircher,1602,1680,0
epist10187,Aubertus Miraeus,1573,1640,0
epist10188,Axel Oxenstierna,1583,1654,0
epist10190,Bagge Wandel,1622,1683,0
epist10200,Baltsar Adriaansz,0,0,1678
epist10203,Barthold Nihus,1590,1657,0
epist10212,Bengt Skytte,1614,1683,0
epist10220,Bernardus Pandelaert,1600,1653,0
epist10223,Bernhard Damcke,1613,1656,0
epist10225,Bernhard von Sachsen-Weimar,1604,1639,0
epist10230,Bonaventura Vulcanius,1538,1614,0
epist10273,Charles Bryas,1625,1686,0
epist10279,Charles de Sainte-Maure,1610,1690,0
epist10303,Christian Cassius,1609,1676,0
epist10309,Christoph Deichmann,1576,1648,0
epist10314,Christopher Wren,1591,1658,0
epist10323,Claude Clerselier,1614,1684,0
epist10324,Claude Comiers,0,1693,0
epist10330,Claude le Bouthillier,1581,1652,0
epist10336,Claude Sarrau,1600,1651,0
epist10343,Conradus Vorstius,1569,1622,0
epist10351,Cornelia de Groot,1611,1687,0
epist10356,Cornelis de Groot,1546,1610,0
epist10360,Cornelis Matelief de Jonge,1569,1632,0
epist10371,Cornelis van Beveren,0,0,1633
epist10375,Cornelis van Pijnacker,1570,1645,0
epist10381,Cornelius Busius,0,0,1631
epist10382,Cornelius de Groot,1613,1661,0
epist10391,Cyrillus Lucaris,1572,1638,0
epist10405,Daniël Johannes Snecanus,0,0,1628
